transaction_id,txn_date,amount,party_name,gstin,category,invoice_number,is_tds_deducted,is_anomaly
TXN-2025-00001,2025-01-17,116480.58,Tata Consultancy Services Ltd,33EEEEE4190F6Z8,SAC 9983,INV/2025/55320,True,0
TXN-2025-00002,2025-05-17,22081.74,Singhania Textiles Pvt Ltd,09CCCCC3512A7Z3,HSN 2710,INV/2025/25580,True,0
TXN-2025-00003,2025-06-23,27622.21,Singhania Textiles Pvt Ltd,09CCCCC3512A7Z3,SAC 9983,INV/2025/89356,True,0
TXN-2025-00004,2025-04-28,19991.46,Apex Packaging Solutions,09CCCCC2077B7Z6,SAC 9965,INV/2025/28391,True,0
TXN-2025-00005,2025-06-25,22491.54,Infosys Limited,19DDDDD4479C8Z2,HSN 4819,INV/2025/36327,True,0
TXN-2025-00006,2025-05-21,10347.97,Aggarwal Auto Components,33EEEEE6382C7Z7,HSN 7208,INV/2025/20645,True,0
TXN-2025-00007,2025-02-08,6778.69,Chawla IT Services,09CCCCC3968F1Z2,HSN 5208,INV/2025/54244,True,0
TXN-2025-00008,2025-04-07,21693.59,Reliance Industries Ltd,07AAAAA9249B4Z5,HSN 8471,INV/2025/81897,True,0
TXN-2025-00009,2025-05-21,2658.36,Singhania Textiles Pvt Ltd,09CCCCC3512A7Z3,HSN 5208,INV/2025/70688,True,0
TXN-2025-00010,2025-01-15,24151.4,Sharma Logistics & Freight,09CCCCC4166B2Z8,HSN 5208,INV/2025/99006,True,0
TXN-2025-00011,2025-03-25,20395.12,Reliance Industries Ltd,07AAAAA9249B4Z5,HSN 5208,INV/2025/30190,True,0
TXN-2025-00012,2025-03-06,8339.84,Aggarwal Auto Components,33EEEEE6382C7Z7,HSN 7208,INV/2025/65703,True,0
TXN-2025-00013,2025-01-29,15536.64,Delhi Distribution Network,27BBBBB7929A7Z7,HSN 4819,INV/2025/51832,True,0
TXN-2025-00014,2025-03-04,7280.12,Reliance Industries Ltd,07AAAAA9249B4Z5,HSN 5208,INV/2025/95630,True,0
TXN-2025-00015,2025-02-15,250000.0,Tata Consultancy Services Ltd,33EEEEE4190F6Z8,CASH PAYMENT,INV/2025/92974,True,1
TXN-2025-00016,2025-04-12,28682.58,Bharat Petroleum Dealer,33EEEEE8784B8Z9,SAC 9983,INV/2025/70138,True,0
TXN-2025-00017,2025-06-17,15562.75,Global Enterprises,07AAAAA8603B9Z2,HSN 8471,INV/2025/54102,True,0
TXN-2025-00018,2025-03-03,250000.0,Apex Packaging Solutions,09CCCCC2077B7Z6,CASH PAYMENT,INV/2025/71768,True,1
TXN-2025-00019,2025-06-19,107449.24,Sharma Logistics & Freight,09CCCCC4166B2Z8,SAC 9983,INV/2025/87741,True,0
TXN-2025-00020,2025-05-18,500000.0,Verma Stationery Traders,27BBBBB7617P4Z2,HSN 5208,INV/2025/12427,True,1
TXN-2025-00021,2025-02-04,17019.8,Gupta Steel & Hardware Corp,33EEEEE7004B8Z6,HSN 5208,INV/2025/98982,True,0
TXN-2025-00022,2025-04-04,51791.35,Chawla IT Services,09CCCCC3968F1Z2,HSN 2710,INV/2025/62533,True,0
TXN-2025-00023,2025-06-13,3412.26,Tata Consultancy Services Ltd,33EEEEE4190F6Z8,SAC 9965,INV/2025/38888,True,0
TXN-2025-00024,2025-05-13,5285.4,Reliance Industries Ltd,07AAAAA9249B4Z5,HSN 7208,INV/2025/29415,True,0
TXN-2025-00025,2025-06-20,11993.59,Reliance Industries Ltd,07AAAAA9249B4Z5,HSN 7208,INV/2025/54891,True,0
TXN-2025-00026,2025-02-01,18259.16,Verma Stationery Traders,27BBBBB7617P4Z2,HSN 8471,INV/2025/68639,True,0
TXN-2025-00027,2025-06-20,15268.14,Sharma Logistics & Freight,09CCCCC4166B2Z8,SAC 9965,INV/2025/97986,True,0
TXN-2025-00028,2025-06-25,15484.6,Bharat Petroleum Dealer,33EEEEE8784B8Z9,HSN 5208,INV/2025/77260,True,0
TXN-2025-00029,2025-06-19,25493.14,Kapur Electronics,09CCCCC1358C6Z1,SAC 9983,INV/2025/37384,True,0
TXN-2025-00030,2025-02-02,14162.71,Aggarwal Auto Components,33EEEEE6382C7Z7,SAC 9983,INV/2025/82890,True,0
TXN-2025-00031,2025-03-23,22270.75,Gupta Steel & Hardware Corp,33EEEEE7004B8Z6,SAC 9965,INV/2025/49468,True,0
TXN-2025-00032,2025-03-07,120000.0,Sharma Logistics & Freight,09CCCCC4166B2Z8,SAC 9983 (NO TDS),INV/2025/36680,False,1
TXN-2025-00033,2025-04-27,8976.06,Gupta Steel & Hardware Corp,33EEEEE7004B8Z6,HSN 4819,INV/2025/15309,True,0
TXN-2025-00034,2025-03-04,7308.14,Tata Consultancy Services Ltd,33EEEEE4190F6Z8,SAC 9983,INV/2025/54907,True,0
TXN-2025-00035,2025-04-23,6280.94,Aggarwal Auto Components,33EEEEE6382C7Z7,SAC 9965,INV/2025/16766,True,0
TXN-2025-00036,2025-03-10,19688.72,Delhi Distribution Network,27BBBBB7929A7Z7,SAC 9965,INV/2025/36799,True,0
TXN-2025-00037,2025-01-09,12168.2,Apex Packaging Solutions,09CCCCC2077B7Z6,HSN 2710,INV/2025/91062,True,0
TXN-2025-00038,2025-01-15,61169.49,Tata Consultancy Services Ltd,33EEEEE4190F6Z8,HSN 2710,INV/2025/69254,True,0
TXN-2025-00039,2025-06-20,16163.35,Gupta Steel & Hardware Corp,33EEEEE7004B8Z6,HSN 4819,INV/2025/90799,True,0
TXN-2025-00040,2025-02-06,65994.18,Aggarwal Auto Components,33EEEEE6382C7Z7,SAC 9965,INV/2025/93334,True,0
TXN-2025-00041,2025-01-16,6035.35,Tata Consultancy Services Ltd,33EEEEE4190F6Z8,SAC 9965,INV/2025/44862,True,0
TXN-2025-00042,2025-06-04,15637.69,Kapur Electronics,09CCCCC1358C6Z1,HSN 8471,INV/2025/21287,True,0
TXN-2025-00043,2025-06-09,5381.29,Apex Packaging Solutions,09CCCCC2077B7Z6,HSN 2710,INV/2025/54428,True,0
TXN-2025-00044,2025-05-14,13363.64,Singhania Textiles Pvt Ltd,09CCCCC3512A7Z3,HSN 8471,INV/2025/29241,True,0
TXN-2025-00045,2025-05-01,30357.15,Singhania Textiles Pvt Ltd,09CCCCC3512A7Z3,HSN 2710,INV/2025/24241,True,0
TXN-2025-00046,2025-03-09,11786.64,Tata Consultancy Services Ltd,33EEEEE4190F6Z8,HSN 7208,INV/2025/56793,True,0
TXN-2025-00047,2025-02-25,13026.44,Kapur Electronics,09CCCCC1358C6Z1,HSN 4819,INV/2025/79684,True,0
TXN-2025-00048,2025-01-25,22468.3,Sharma Logistics & Freight,09CCCCC4166B2Z8,SAC 9965,INV/2025/35203,True,0
TXN-2025-00049,2025-06-16,74897.6,Infosys Limited,19DDDDD4479C8Z2,HSN 7208,INV/2025/86983,True,0
TXN-2025-00050,2025-06-20,8199.21,Singhania Textiles Pvt Ltd,09CCCCC3512A7Z3,HSN 7208,INV/2025/68816,True,0
TXN-2025-00051,2025-02-05,7300.8,Tata Consultancy Services Ltd,33EEEEE4190F6Z8,HSN 7208,INV/2025/77705,True,0
TXN-2025-00052,2025-06-24,10126.04,Delhi Distribution Network,27BBBBB7929A7Z7,HSN 7208,INV/2025/23764,True,0
TXN-2025-00053,2025-06-01,15027.26,Delhi Distribution Network,27BBBBB7929A7Z7,HSN 8471,INV/2025/53644,True,0
TXN-2025-00054,2025-05-11,9103.75,Chawla IT Services,09CCCCC3968F1Z2,HSN 7208,INV/2025/85613,True,0
TXN-2025-00055,2025-06-18,20889.78,Aggarwal Auto Components,33EEEEE6382C7Z7,HSN 7208,INV/2025/24376,True,0
TXN-2025-00056,2025-01-29,30328.65,Tata Consultancy Services Ltd,33EEEEE4190F6Z8,HSN 2710,INV/2025/90135,True,0
TXN-2025-00057,2025-05-27,6369.66,Singhania Textiles Pvt Ltd,09CCCCC3512A7Z3,HSN 4819,INV/2025/90377,True,0
TXN-2025-00058,2025-06-04,59295.65,Reliance Industries Ltd,07AAAAA9249B4Z5,HSN 5208,INV/2025/62810,True,0
TXN-2025-00059,2025-02-04,5393.48,Singhania Textiles Pvt Ltd,09CCCCC3512A7Z3,HSN 8471,INV/2025/25260,True,0
TXN-2025-00060,2025-03-15,21772.05,Kapur Electronics,09CCCCC1358C6Z1,SAC 9983,INV/2025/18102,True,0
TXN-2025-00061,2025-01-25,18193.58,Gupta Steel & Hardware Corp,33EEEEE7004B8Z6,HSN 5208,INV/2025/40827,True,0
TXN-2025-00062,2025-02-12,70771.72,Singhania Textiles Pvt Ltd,09CCCCC3512A7Z3,HSN 4819,INV/2025/60910,True,0
TXN-2025-00063,2025-06-17,9885.11,Delhi Distribution Network,27BBBBB7929A7Z7,HSN 2710,INV/2025/29846,True,0
TXN-2025-00064,2025-06-12,16062.92,Verma Stationery Traders,27BBBBB7617P4Z2,SAC 9965,INV/2025/14249,True,0
TXN-2025-00065,2025-03-03,23039.55,Gupta Steel & Hardware Corp,33EEEEE7004B8Z6,HSN 2710,INV/2025/41657,True,0
TXN-2025-00066,2025-05-01,30579.96,Sharma Logistics & Freight,07INVALIDGSTIN12,HSN 7208,INV/2025/63474,True,1
TXN-2025-00067,2025-02-08,13030.81,Global Enterprises,07AAAAA8603B9Z2,HSN 7208,INV/2025/74946,True,0
TXN-2025-00068,2025-04-23,120000.0,Aggarwal Auto Components,33EEEEE6382C7Z7,SAC 9983 (NO TDS),INV/2025/45881,False,1
TXN-2025-00069,2025-01-07,5978.05,Apex Packaging Solutions,09CCCCC2077B7Z6,HSN 7208,INV/2025/53150,True,0
TXN-2025-00070,2025-01-10,7380.29,Sharma Logistics & Freight,09CCCCC4166B2Z8,HSN 5208,INV/2025/78902,True,0
TXN-2025-00071,2025-03-09,15517.13,Tata Consultancy Services Ltd,33EEEEE4190F6Z8,HSN 4819,INV/2025/59169,True,0
TXN-2025-00072,2025-02-02,7433.29,Gupta Steel & Hardware Corp,33EEEEE7004B8Z6,SAC 9983,INV/2025/96798,True,0
TXN-2025-00073,2025-06-14,4418.98,Kapur Electronics,09CCCCC1358C6Z1,SAC 9983,INV/2025/58406,True,0
TXN-2025-00074,2025-04-28,43739.04,Global Enterprises,07AAAAA8603B9Z2,HSN 5208,INV/2025/17278,True,0
TXN-2025-00075,2025-04-27,28829.85,Kapur Electronics,09CCCCC1358C6Z1,HSN 5208,INV/2025/21990,True,0
TXN-2025-00076,2025-02-15,2409.15,Kapur Electronics,09CCCCC1358C6Z1,HSN 8471,INV/2025/58668,True,0
TXN-2025-00077,2025-05-04,29556.49,Bharat Petroleum Dealer,33EEEEE8784B8Z9,HSN 8471,INV/2025/60370,True,0
TXN-2025-00078,2025-01-12,34675.63,Verma Stationery Traders,27BBBBB7617P4Z2,HSN 8471,INV/2025/40380,True,0
TXN-2025-00079,2025-01-01,5782.41,Mehta Tech Solutions LLP,19DDDDD8663C4Z2,HSN 7208,INV/2025/74078,True,0
TXN-2025-00080,2025-04-11,37579.41,Bharat Petroleum Dealer,33EEEEE8784B8Z9,HSN 8471,INV/2025/34423,True,0
TXN-2025-00081,2025-04-18,4129.82,Singhania Textiles Pvt Ltd,09CCCCC3512A7Z3,SAC 9965,INV/2025/67471,True,0
TXN-2025-00082,2025-03-11,8997.7,Verma Stationery Traders,27BBBBB7617P4Z2,HSN 4819,INV/2025/38115,True,0
TXN-2025-00083,2025-06-25,11730.79,Global Enterprises,07AAAAA8603B9Z2,HSN 5208,INV/2025/62079,True,0
TXN-2025-00084,2025-02-05,19705.38,Apex Packaging Solutions,09CCCCC2077B7Z6,HSN 7208,INV/2025/77677,True,0
TXN-2025-00085,2025-06-19,18287.83,Aggarwal Auto Components,33EEEEE6382C7Z7,HSN 5208,INV/2025/40303,True,0
TXN-2025-00086,2025-04-18,15949.66,Chawla IT Services,09CCCCC3968F1Z2,HSN 4819,INV/2025/78887,True,0
